Crop,State,Area,Annual_Rainfall,Fertilizer,Pesticide,Yield
Arecanut,Assam,73814,2051.4,7024878.38,22882.34,0.796086957
Arhar/Tur,Assam,6637,2051.4,631643.29,2057.47,0.710434783
Castor seed,Assam,796,2051.4,75755.32,246.76,0.238333333
Coconut ,Assam,19656,2051.4,1870661.52,6093.36,5238.051739
Cotton(lint),Assam,1739,2051.4,165500.63,539.09,0.420909091
Dry chillies,Assam,13587,2051.4,1293074.79,4211.97,0.643636364
Gram,Assam,2979,2051.4,283511.43,923.49,0.465454545
Jute,Assam,94520,2051.4,8995468.4,29301.2,9.919565217
Linseed,Assam,10098,2051.4,961026.66,3130.38,0.461363636
Maize,Assam,19216,2051.4,1828786.72,5956.96,0.615652174
Mesta,Assam,5915,2051.4,562930.55,1833.65,4.568947368
Niger seed,Assam,9914,2051.4,943515.38,3073.34,0.482352941
Onion,Assam,7832,2051.4,745371.44,2427.92,2.342608696
Other  Rabi pulses,Assam,108297,2051.4,10306625.49,33572.07,0.520869565
Potato,Assam,75259,2051.4,7162399.03,23330.29,7.561304348
Rapeseed &Mustard,Assam,279292,2051.4,26580219.64,86580.52,0.554782609
Rice,Assam,607358,2051.4,57802260.86,188280.98,0.780869565
Rice,Assam,174974,2051.4,16652275.58,54241.94,1.060434783
Rice,Assam,1743321,2051.4,165911859.6,540429.51,0.941304348
Sesamum,Assam,15765,2051.4,1500355.05,4887.15,0.487391304
Small millets,Assam,10490,2051.4,998333.3,3251.9,0.473
Sugarcane,Assam,31318,2051.4,2980534.06,9708.58,41.89695652
Sweet potato,Assam,9380,2051.4,892694.6,2907.8,3.440434783
Tapioca,Assam,2465,2051.4,234594.05,764.15,4.41826087
Tobacco,Assam,433,2051.4,41208.61,134.23,0.38
Turmeric,Assam,10071,2051.4,958457.07,3122.01,0.67
Wheat,Assam,84698,2051.4,8060708.66,26256.38,1.25952381
Arecanut,Karnataka,93100,1266.7,8860327,28861,1.293571429
Arhar/Tur,Karnataka,421810,1266.7,40143657.7,130761.1,0.268235294
Bajra,Karnataka,301149,1266.7,28660350.33,93356.19,0.404545455
Bajra,Karnataka,820,1266.7,78039.4,254.2,0.81
Black pepper,Karnataka,3825,1266.7,364025.25,1185.75,0.4375
Cardamom,Karnataka,21230,1266.7,2020459.1,6581.3,0.058571429
Coriander,Karnataka,17317,1266.7,1648058.89,5368.27,0.121333333
Dry chillies,Karnataka,186579,1266.7,17756723.43,57839.49,1.078333333
Dry chillies,Karnataka,4565,1266.7,434451.05,1415.15,1.869444444
Garlic,Karnataka,5061,1266.7,481655.37,1568.91,1.585
Ginger,Karnataka,3619,1266.7,344420.23,1121.89,1.262307692
Groundnut,Karnataka,847666,1266.7,80672373.22,262776.46,0.709411765
Groundnut,Karnataka,192416,1266.7,18312230.72,59648.96,1.133333333
Horse-gram,Karnataka,178872,1266.7,17023248.24,55450.32,0.45
Horse-gram,Karnataka,163173,1266.7,15529174.41,50583.63,0.514705882
Jowar,Karnataka,389690,1266.7,37086797.3,120803.9,1.228
Jowar,Karnataka,1501172,1266.7,142866539.2,465363.32,0.510714286
Jowar,Karnataka,6137,1266.7,584058.29,1902.47,2.470909091
Maize,Karnataka,502797,1266.7,47851190.49,155867.07,2.687777778
Maize,Karnataka,48844,1266.7,4648483.48,15141.64,1.98
Maize,Karnataka,9730,1266.7,926004.1,3016.3,2.165714286
Ragi,Karnataka,897921,1266.7,85455141.57,278355.51,1.191333333
Ragi,Karnataka,27104,1266.7,2579487.68,8402.24,1.312222222
Ragi,Karnataka,13521,1266.7,1286793.57,4191.51,1.847777778
Rice,Karnataka,1031530,1266.7,98170710.1,319774.3,2.2335
Rice,Karnataka,53889,1266.7,5128616.13,16705.59,2.073846154
Rice,Karnataka,268044,1266.7,25509747.48,83093.64,2.829444444
Sugarcane,Karnataka,308857,1266.7,29393920.69,95745.67,91.74736842
Turmeric,Karnataka,4342,1266.7,413228.14,1346.02,4.452941176
Wheat,Karnataka,250698,1266.7,23858928.66,77716.38,0.548333333
Arecanut,Kerala,76145,3252.4,7246719.65,23604.95,1.147857143
