State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
Andhra Pradesh,Chittor,Madanapalli,Tomato,Local,FAQ,11-05-2024,800,1600,1100
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Grapes,Other,Medium,11-05-2024,6000,8000,7000
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Lemon,Other,FAQ,11-05-2024,7000,10000,9000
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Pumpkin,Other,FAQ,11-05-2024,300,600,500
Chattisgarh,Bilaspur,Bilaspur,Wheat,Local,FAQ,11-05-2024,2228,2305,2300
Chattisgarh,Dhamtari,Belargaon,Paddy(Dhan)(Common),I.R. 36,FAQ,11-05-2024,2000,2000,2000
Chattisgarh,Durg,Durg,Apple,Apple,Medium,11-05-2024,14000,16000,16000
Chattisgarh,Durg,Durg,Banana - Green,Banana - Green,FAQ,11-05-2024,1000,1500,1500
Chattisgarh,Durg,Durg,Brinjal,Round/Long,FAQ,11-05-2024,1800,2000,1800
Chattisgarh,Durg,Durg,Carrot,Carrot,FAQ,11-05-2024,2000,2400,2400
Chattisgarh,Durg,Durg,Ginger(Green),Green Ginger,FAQ,11-05-2024,10000,12000,12000
Chattisgarh,Durg,Durg,Guar,Gwar,FAQ,11-05-2024,4000,4200,4000
Chattisgarh,Durg,Durg,Pomegranate,Pomogranate,Medium,11-05-2024,16000,18000,18000
Chattisgarh,Mahasamund,Mahasamund,Paddy(Dhan)(Common),Paddy fine,FAQ,11-05-2024,2200,2300,2300
Chattisgarh,Mungeli,Lormi,Paddy(Dhan)(Common),Paddy fine,FAQ,11-05-2024,1600,1650,1600
Chattisgarh,Rajnandgaon,Rajnandgaon,Mango,Badami,Medium,11-05-2024,4000,12000,8000
Chattisgarh,Rajnandgaon,Rajnandgaon,Potato,Potato,FAQ,11-05-2024,1800,2200,2000
Chattisgarh,Surguja,Ambikapur,Paddy(Dhan)(Common),Paddy Coarse,FAQ,11-05-2024,2188,2188,2188
Gujarat,Amreli,Amreli,Castor Seed,Castor seed,FAQ,11-05-2024,5125,5320,5275
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",White,FAQ,11-05-2024,10000,15650,14255
Gujarat,Amreli,Amreli,Wheat,Lokwan,FAQ,11-05-2024,2175,2915,2670
Gujarat,Amreli,Bagasara,Groundnut,Balli/Habbu,FAQ,11-05-2024,5175,5750,5462
Gujarat,Amreli,Dhari,Methi Seeds,Methiseeds,FAQ,11-05-2024,5380,5380,5380
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Potato,Potato,FAQ,11-05-2024,2250,2500,2300
Gujarat,Banaskanth,Deesa,Rajgir,Other,FAQ,11-05-2024,6400,6880,6700
